,phrase,label,sentiment,subjectivity,language,count
Borussia Dortmunds U23,Borussia Dortmunds U23,ORG,0.0,0.0,de,3
FOCUS,FOCUS,ORG,-0.3333333333333333,0.0,de,3
Fußball-Rekordmeister,Fußball-Rekordmeister,ORG,0.0,0.0,de,3
Aue,Aue,ORG,0.0,0.0,de,3
Bremen,Bremen,ORG,0.0,0.0,de,3
Champions-League-Kurs,Champions-League-Kurs,ORG,0.3333333333333333,0.0,de,3
SC Verl,SC Verl,ORG,0.0,0.0,de,3
Repräsentantenhaus,Repräsentantenhaus,ORG,-0.11666666666666665,0.16666666666666666,de,3
Joker-Tors,Joker-Tors,ORG,0.0,0.0,de,3
Bayern-Boss,Bayern-Boss,ORG,0.0,0.0,de,3
Rot-Weiss Essen,Rot-Weiss Essen,ORG,0.43333333333333335,0.0,de,3
Löwen,Löwen,ORG,0.3,0.0,de,3
SC Fr,SC Fr,ORG,0.0,0.0,de,3
Beiden Teams,Beiden Teams,ORG,0.0,0.0,de,3
Greuther Fürth,Greuther Fürth,ORG,0.0,0.0,de,3
Ex-SC Freiburg,Ex-SC Freiburg,ORG,-0.5666666666666667,0.0,de,3
Deutschen Fußball Liga,Deutschen Fußball Liga,ORG,0.0,0.0,de,3
Bayer,Bayer,ORG,0.0,0.0,de,3
FC St. Pauli II,FC St. Pauli II,ORG,0.0,0.0,de,3
Mainz 05,Mainz 05,ORG,0.0,0.0,de,3
Austria Lustenau,Austria Lustenau,ORG,0.0,0.0,de,3
Bundesligaklub,Bundesligaklub,ORG,0.0,0.6666666666666666,de,3
Richmond Kickers,Richmond Kickers,ORG,0.0,0.0,de,3
Sturm Graz,Sturm Graz,ORG,0.0,0.0,de,3
Europa-League-Gruppen,Europa-League-Gruppen,ORG,0.43333333333333335,0.0,de,3
SC Bern,SC Bern,ORG,0.6666666666666666,0.0,de,3
Hartenbach,Hartenbach,ORG,0.2333333333333333,0.0,de,3
SC Freiburg -,SC Freiburg -,ORG,0.0,0.0,de,3
Fußball-Zweitligisten,Fußball-Zweitligisten,ORG,0.0,0.0,de,3
Bündnis Deutschland,Bündnis Deutschland,ORG,0.0,0.0,de,3
CL,CL,ORG,0.0,0.0,de,3
Linke,Linke,ORG,0.0,0.0,de,3
Sky,Sky,ORG,0.6666666666666666,0.0,de,3
deutsche Nationalmannschaft,deutsche Nationalmannschaft,ORG,0.0,0.0,de,3
Freiburg  ,Freiburg  ,ORG,-0.5166666666666666,0.0,de,3
SWR,SWR,ORG,-0.2333333333333333,0.0,de,3
